,Retail trade  [44-45],,Motor vehicle and parts dealers  [441],,Automobile dealers  [4411],,Other motor vehicle dealers  [4412],,"Automotive parts, accessories and tire stores  [4413]",,Furniture and home furnishings stores  [442],,Furniture stores  [4421],,Home furnishings stores  [4422],,Electronics and appliance stores  [443],,Building material and garden equipment and supplies dealers  [444],,Food and beverage stores  [445],,Grocery stores  [4451],,Specialty food stores  [4452],,"Beer, wine and liquor stores  [4453]",,Health and personal care stores  [446],,Gasoline stations  [447],,Clothing and clothing accessories stores  [448],,Clothing stores  [4481],,Shoe stores  [4482],,"Jewellery, luggage and leather goods stores  [4483]",,"Sporting goods, hobby, book and music stores  [451]",,General merchandise stores  [452],,Miscellaneous store retailers  [453],
Reference period,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted
6-Mar,"30,760,061","31,871,717","8,031,413","7,473,277","7,087,022","6,439,443","559,620","604,093","384,771","429,741","1,150,315","1,211,968","741,410","784,244","408,905","427,725","1,004,419","1,094,804","1,676,119","2,064,020","7,175,637","7,342,335","5,772,336","5,791,889","287,120","306,892","1,116,182","1,243,554","2,120,536","2,105,278","3,254,291","3,321,922","1,598,465","1,861,857","1,256,238","1,437,007","187,077","218,978","155,150","205,872","652,047","750,878","3,288,251","3,805,514","808,567","839,862"
6-Apr,"32,106,585","32,354,405","8,439,893","7,635,409","7,141,599","6,559,679","865,422","636,262","432,873","439,468","1,121,690","1,208,308","740,926","785,845","380,765","422,464","899,882","1,092,569","2,007,353","2,074,853","7,195,955","7,345,891","5,738,599","5,789,195","320,509","313,507","1,136,847","1,243,188","2,038,581","2,126,036","3,470,054","3,563,312","1,790,436","1,887,091","1,400,311","1,458,295","234,959","229,595","155,166","199,201","710,777","760,306","3,654,424","3,805,438","777,540","855,193"
6-May,"34,894,460","32,048,264","9,194,832","7,372,383","7,684,543","6,315,704","1,015,820","611,899","494,469","444,780","1,198,687","1,218,331","776,892","788,821","421,795","429,510","957,310","1,105,318","2,695,093","2,030,759","7,478,652","7,399,869","5,923,397","5,833,698","331,432","312,178","1,223,823","1,253,994","2,197,575","2,159,601","3,712,593","3,422,765","1,879,514","1,872,710","1,455,809","1,451,670","238,017","222,004","185,688","199,036","723,662","765,273","3,981,789","3,851,386","874,754","849,869"
6-Jun,"35,049,112","32,242,363","8,957,525","7,539,865","7,562,030","6,465,679","933,951","625,702","461,545","448,484","1,239,487","1,224,014","807,640","790,687","431,847","433,327","1,000,174","1,101,950","2,625,832","2,051,274","7,773,333","7,349,209","6,086,374","5,796,956","335,257","313,908","1,351,703","1,238,346","2,201,194","2,198,930","3,792,991","3,498,749","1,860,695","1,876,305","1,445,147","1,451,376","227,501","224,497","188,047","200,432","722,332","762,785","3,962,836","3,786,426","912,714","852,855"
6-Jul,"34,341,547","33,040,218","8,473,760","7,895,269","7,195,380","6,794,840","830,793","637,557","447,587","462,872","1,249,747","1,221,577","836,287","796,396","413,460","425,182","1,013,885","1,123,568","2,401,787","2,085,209","7,925,030","7,480,301","6,121,800","5,900,833","340,247","318,409","1,462,983","1,261,059","2,108,177","2,199,264","4,019,280","3,676,565","1,723,663","1,880,466","1,339,499","1,454,379","208,468","227,012","175,696","199,075","732,724","772,391","3,872,882","3,850,537","820,612","855,070"
6-Aug,"35,045,180","33,007,575","8,805,666","7,831,346","7,600,084","6,743,418","746,055","639,151","459,528","448,777","1,290,788","1,236,608","848,312","799,181","442,476","437,426","1,105,427","1,106,175","2,398,493","2,087,060","7,796,058","7,484,215","6,069,469","5,893,607","334,393","321,237","1,392,196","1,269,370","2,187,734","2,202,573","4,089,460","3,727,083","1,860,669","1,869,384","1,423,405","1,438,855","244,553","226,685","192,711","203,843","788,390","765,457","3,804,864","3,859,484","917,630","838,189"
6-Sep,"33,056,559","32,492,838","7,669,056","7,668,822","6,645,241","6,588,113","579,877","648,181","443,938","432,528","1,283,048","1,236,393","848,969","801,587","434,079","434,806","1,153,184","1,131,610","2,288,858","2,074,637","7,707,091","7,480,363","6,075,420","5,885,386","320,938","324,579","1,310,733","1,270,398","2,197,103","2,219,215","3,278,364","3,216,530","2,041,973","1,962,093","1,604,930","1,522,710","263,797","237,380","173,246","202,003","807,004","775,837","3,688,506","3,883,487","942,373","843,852"
6-Oct,"31,830,349","32,595,465","7,229,966","7,659,665","6,257,142","6,617,872","458,431","613,333","514,393","428,459","1,280,778","1,233,143","835,679","800,178","445,099","432,965","1,061,714","1,138,807","2,245,817","2,094,095","7,181,822","7,561,734","5,679,141","5,938,807","323,256","331,695","1,179,425","1,291,233","2,227,007","2,226,964","3,234,395","3,196,337","1,926,291","1,942,302","1,521,071","1,503,415","246,985","234,229","158,236","204,658","719,379","785,455","3,872,142","3,904,733","851,038","852,229"
6-Nov,"32,663,281","32,814,138","7,283,370","7,893,897","6,352,754","6,851,581","380,011","610,447","550,605","431,869","1,364,845","1,258,060","845,861","808,454","518,984","449,606","1,187,506","1,129,346","2,096,313","2,097,159","7,302,851","7,517,791","5,747,858","5,897,268","308,276","328,834","1,246,716","1,291,689","2,281,432","2,261,312","3,137,636","3,342,245","2,073,837","1,888,115","1,615,573","1,453,859","236,970","212,227","221,294","222,029","818,409","777,334","4,296,541","3,799,466","820,543","849,414"
6-Dec,"38,605,976","33,515,367","6,561,150","8,007,641","5,798,780","6,993,957","346,350","583,895","416,020","429,789","1,532,618","1,271,078","933,543","814,327","599,076","456,752","2,157,689","1,154,692","1,725,018","2,163,163","8,995,055","7,642,958","6,664,161","5,991,177","395,240","333,197","1,935,654","1,318,584","2,680,468","2,289,615","3,266,611","3,430,106","3,337,117","1,969,436","2,471,946","1,521,846","320,790","229,941","544,381","217,649","1,328,149","785,763","5,925,520","3,924,459","1,096,581","876,456"
7-Jan,"27,777,968","33,221,023","5,998,691","7,750,629","5,311,860","6,695,326","330,193","626,987","356,637","428,316","1,124,204","1,261,608","733,235","821,303","390,969","440,305","1,033,348","1,156,779","1,538,035","2,176,664","6,711,413","7,551,990","5,481,672","5,898,544","293,661","344,280","936,080","1,309,165","2,249,954","2,299,159","3,112,400","3,442,809","1,451,417","1,975,509","1,137,202","1,527,794","168,582","235,173","145,634","212,541","714,469","805,726","3,102,721","3,925,959","741,316","874,192"
