,Retail trade  [44-45],,Motor vehicle and parts dealers  [441],,Automobile dealers  [4411],,Other motor vehicle dealers  [4412],,"Automotive parts, accessories and tire stores  [4413]",,Furniture and home furnishings stores  [442],,Furniture stores  [4421],,Home furnishings stores  [4422],,Electronics and appliance stores  [443],,Building material and garden equipment and supplies dealers  [444],,Food and beverage stores  [445],,Grocery stores  [4451],,Specialty food stores  [4452],,"Beer, wine and liquor stores  [4453]",,Health and personal care stores  [446],,Gasoline stations  [447],,Clothing and clothing accessories stores  [448],,Clothing stores  [4481],,Shoe stores  [4482],,"Jewellery, luggage and leather goods stores  [4483]",,"Sporting goods, hobby, book and music stores  [451]",,General merchandise stores  [452],,Miscellaneous store retailers  [453],
Reference period,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted
11-Jul,"39,832,282","37,897,036","8,775,132","8,190,901","7,381,530","7,018,994","843,527","590,771","550,076","581,136","1,273,240","1,226,036","827,454","774,341","445,785","451,695","1,206,640","1,310,424","2,635,031","2,228,465","9,521,694","8,780,427","7,205,906","6,799,452","430,489","416,362","1,885,300","1,564,614","2,683,697","2,742,406","5,230,789","4,796,367","2,031,885","2,172,701","1,575,395","1,679,459","242,892","254,552","213,597","238,690","818,415","872,880","4,780,086","4,680,178","875,673","896,251"
11-Aug,"39,541,248","38,004,303","9,128,937","8,278,461","7,817,300","7,085,864","743,093","618,942","568,544","573,654","1,315,531","1,254,099","830,606","784,358","484,925","469,741","1,307,430","1,295,342","2,587,570","2,238,726","8,791,894","8,752,492","6,735,484","6,789,229","425,682","419,769","1,630,728","1,543,494","2,713,286","2,743,212","5,185,579","4,832,276","2,108,857","2,161,525","1,623,031","1,667,392","264,076","252,993","221,750","241,140","872,888","874,345","4,565,973","4,676,111","963,304","897,714"
11-Sep,"38,877,263","38,283,380","8,539,680","8,455,908","7,391,150","7,274,734","557,391","596,257","591,139","584,917","1,296,224","1,246,666","836,429","788,330","459,795","458,336","1,331,672","1,302,165","2,509,177","2,253,000","8,855,161","8,751,851","6,837,738","6,747,599","410,306","421,106","1,607,117","1,583,147","2,691,728","2,746,748","4,938,294","4,854,885","2,196,917","2,159,598","1,710,559","1,663,654","276,254","248,223","210,104","247,721","937,852","888,243","4,577,586","4,722,047","1,002,971","902,269"
11-Oct,"38,203,872","38,583,801","8,271,925","8,599,081","7,074,720","7,388,362","495,705","622,557","701,500","588,162","1,303,926","1,267,516","809,309","794,686","494,617","472,830","1,277,407","1,374,842","2,355,982","2,242,285","8,626,381","8,747,341","6,688,388","6,738,985","423,780","431,865","1,514,213","1,576,492","2,754,595","2,759,056","4,943,186","4,906,439","2,199,104","2,177,341","1,717,858","1,676,099","279,635","249,969","201,611","251,274","839,716","900,029","4,718,435","4,708,251","913,216","901,620"
11-Nov,"39,174,736","38,694,229","8,427,231","8,584,230","7,145,983","7,345,360","415,295","611,413","865,953","627,458","1,340,173","1,233,381","816,810","784,291","523,363","449,089","1,472,708","1,299,489","2,310,215","2,273,406","8,436,110","8,784,931","6,528,498","6,787,004","424,838","437,933","1,482,773","1,559,995","2,822,906","2,766,199","4,772,516","4,959,143","2,459,017","2,202,410","1,922,695","1,703,611","277,603","252,171","258,719","246,629","1,015,135","908,951","5,197,908","4,757,343","920,817","924,744"
11-Dec,"45,089,701","39,173,620","7,366,402","8,845,209","6,412,971","7,647,062","380,665","607,167","572,766","590,980","1,543,037","1,281,965","919,002","803,313","624,035","478,652","2,412,576","1,320,077","1,893,613","2,329,090","10,482,353","8,886,089","7,600,044","6,810,859","570,457","445,044","2,311,852","1,630,186","3,269,688","2,761,514","4,716,384","4,867,167","3,746,307","2,203,682","2,794,564","1,707,873","345,246","247,269","606,497","248,541","1,558,694","906,541","6,913,140","4,811,679","1,187,508","960,608"
12-Jan,"32,299,560","38,958,802","6,667,592","9,024,078","5,911,002","7,853,547","304,628","581,625","451,962","588,906","1,104,148","1,254,739","706,286","790,035","397,862","464,704","1,086,167","1,240,534","1,522,381","2,233,919","7,808,115","8,806,325","6,343,564","6,822,217","358,435","435,713","1,106,116","1,548,395","2,619,909","2,741,387","4,480,094","4,850,070","1,585,810","2,204,642","1,239,394","1,707,573","183,121","252,181","163,294","244,888","795,389","910,335","3,868,951","4,789,616","761,005","903,157"
12-Feb,"32,037,162","38,861,395","6,941,878","8,802,487","6,150,260","7,639,605","382,693","584,702","408,925","578,180","1,044,272","1,278,854","660,427","796,941","383,845","481,913","962,570","1,214,266","1,546,316","2,283,918","7,827,320","8,804,803","6,207,180","6,807,243","381,118","435,083","1,239,021","1,562,477","2,546,915","2,743,313","4,479,360","4,934,016","1,589,991","2,205,667","1,212,853","1,711,852","160,163","246,714","216,976","247,102","653,159","889,204","3,684,187","4,796,103","761,195","908,763"
12-Mar,"37,882,518","39,198,162","9,182,645","8,841,026","8,136,243","7,619,816","529,802","628,736","516,599","592,474","1,195,315","1,258,658","756,592","789,618","438,723","469,040","1,117,089","1,207,941","1,877,999","2,311,615","8,888,180","8,852,957","6,994,091","6,822,011","415,462","432,084","1,478,627","1,598,862","2,726,010","2,736,589","4,898,481","4,977,819","1,968,135","2,245,917","1,546,877","1,737,705","228,207","262,278","193,052","245,933","787,169","935,143","4,376,003","4,896,663","865,492","933,833"
12-Apr,"37,740,840","38,843,751","9,542,281","8,779,472","8,185,287","7,560,740","745,821","633,615","611,173","585,117","1,154,199","1,266,159","729,419","797,150","424,780","469,009","982,679","1,172,630","2,169,876","2,289,111","8,248,703","8,770,338","6,416,644","6,748,159","424,539","430,950","1,407,519","1,591,230","2,663,888","2,761,220","4,848,132","5,001,427","1,975,494","2,188,212","1,548,298","1,699,666","238,629","247,881","188,566","240,664","765,035","878,021","4,562,789","4,818,741","827,764","918,421"
12-May,"42,558,147","38,791,914","10,797,853","8,656,394","9,178,984","7,501,436","988,578","603,220","630,291","551,738","1,245,820","1,243,840","793,715","782,826","452,104","461,014","1,022,865","1,166,694","2,942,469","2,224,495","9,206,142","8,896,655","7,122,020","6,848,654","450,350","432,124","1,633,772","1,615,877","2,854,536","2,777,684","5,192,181","4,940,936","2,293,414","2,216,440","1,769,947","1,710,734","272,897","249,072","250,570","256,634","845,077","888,353","5,192,910","4,854,714","964,880","925,708"
12-Jun,"41,765,337","38,764,063","10,052,437","8,665,119","8,625,109","7,514,948","863,326","582,149","564,002","568,023","1,278,582","1,262,184","817,202","794,665","461,380","467,519","1,083,107","1,170,475","2,799,327","2,210,984","9,606,385","8,956,519","7,332,120","6,899,812","456,892","437,234","1,817,373","1,619,473","2,787,409","2,805,050","5,081,561","4,822,239","2,246,822","2,229,850","1,762,454","1,732,456","253,375","251,502","230,992","245,892","861,068","895,861","4,972,552","4,802,394","996,087","943,388"
12-Jul,"40,117,110","38,857,340","9,485,690","8,800,548","8,051,518","7,601,169","867,695","614,516","566,477","584,863","1,312,611","1,279,702","836,721","800,409","475,889","479,294","1,049,049","1,155,907","2,676,441","2,248,160","9,098,858","8,914,289","6,883,810","6,877,383","444,737","439,078","1,770,311","1,597,828","2,759,160","2,832,437","5,206,077","4,805,428","1,978,106","2,189,273","1,531,443","1,687,141","230,306","252,506","216,357","249,626","819,066","890,123","4,834,287","4,815,760","897,765","925,715"
12-Aug,"41,307,128","38,946,468","9,622,986","8,734,795","8,331,180","7,571,014","709,444","575,620","582,362","588,162","1,350,929","1,272,833","858,705","797,106","492,224","475,726","1,186,224","1,161,541","2,593,227","2,227,167","9,407,420","8,921,091","7,142,246","6,882,308","451,396","440,223","1,813,779","1,598,560","2,818,496","2,836,689","5,394,367","4,988,652","2,187,271","2,165,748","1,690,339","1,678,884","261,940","239,557","234,992","247,307","917,667","889,020","4,849,611","4,847,852","978,931","901,081"
12-Sep,"39,060,675","39,061,424","8,561,430","8,682,515","7,488,732","7,524,503","533,191","594,155","539,507","563,857","1,302,648","1,263,792","852,026","800,481","450,623","463,310","1,161,284","1,168,122","2,387,739","2,230,844","8,961,423","8,944,648","6,931,362","6,900,848","432,822","448,244","1,597,239","1,595,556","2,710,254","2,842,226","5,094,028","5,081,368","2,234,062","2,195,842","1,750,854","1,700,815","278,713","251,641","204,495","243,385","945,772","881,939","4,668,908","4,824,357","1,033,127","945,770"
12-Oct,"39,497,273","39,237,267","9,097,082","8,819,221","7,831,148","7,628,986","496,566","592,691","769,368","597,545","1,299,799","1,262,099","790,588","784,466","509,211","477,632","1,082,781","1,136,711","2,448,175","2,240,105","8,664,553","8,922,282","6,718,850","6,874,447","443,857","448,070","1,501,847","1,599,766","2,883,270","2,833,770","5,153,759","5,102,510","2,248,762","2,229,963","1,761,682","1,722,126","287,317","260,452","199,763","247,385","811,391","869,632","4,828,874","4,865,226","978,827","955,749"
12-Nov,"40,090,004","39,203,945","8,641,040","8,975,338","7,428,077","7,782,753","415,522","610,259","797,441","582,327","1,415,471","1,290,901","834,151","797,575","581,320","493,326","1,374,994","1,170,677","2,248,336","2,224,806","8,937,871","8,967,330","6,853,544","6,887,775","446,941","452,245","1,637,386","1,627,310","2,918,548","2,846,207","4,821,564","4,968,501","2,491,506","2,155,729","1,941,028","1,662,574","272,784","240,271","277,694","252,883","976,436","855,499","5,313,063","4,805,584","951,175","943,372"
12-Dec,"43,444,637","39,075,859","6,905,451","8,717,368","6,008,152","7,527,174","362,071","598,049","535,227","592,145","1,520,306","1,290,339","887,797","792,357","632,508","497,982","2,018,064","1,161,375","1,765,840","2,253,003","10,118,206","9,015,939","7,363,587","6,938,163","581,807","457,308","2,172,812","1,620,467","3,354,267","2,886,091","4,714,623","4,891,258","3,637,361","2,209,452","2,704,488","1,708,132","337,616","251,013","595,257","250,307","1,475,614","869,713","6,787,479","4,822,603","1,147,426","958,718"
13-Jan,"33,607,336","39,520,274","6,922,228","8,939,917","6,090,618","7,694,060","351,893","644,847","479,718","601,011","1,173,087","1,319,805","738,714","815,983","434,374","503,822","1,025,682","1,164,756","1,580,000","2,260,779","8,255,627","9,040,942","6,647,893","6,926,325","386,351","468,956","1,221,383","1,645,661","2,779,072","2,869,398","4,612,736","4,968,493","1,656,403","2,253,099","1,304,192","1,759,402","192,052","256,355","160,160","237,341","779,115","881,738","3,962,897","4,823,608","860,487","997,738"
13-Feb,"31,686,766","39,773,650","6,785,456","9,116,845","6,018,774","7,926,407","359,496","588,315","407,186","602,122","1,010,311","1,273,553","640,673","797,414","369,637","476,139","872,855","1,136,558","1,466,567","2,263,484","7,804,992","9,037,944","6,157,510","6,942,496","394,856","466,952","1,252,626","1,628,496","2,552,678","2,858,034","4,532,790","5,092,463","1,539,810","2,221,909","1,184,178","1,735,897","163,833","261,650","191,799","224,362","615,958","880,832","3,708,450","4,904,542","796,899","987,486"
13-Mar,"37,632,780","39,905,175","8,917,765","9,241,743","7,911,641","8,011,282","512,224","621,846","493,899","608,615","1,190,931","1,302,144","757,475","820,305","433,456","481,839","1,035,137","1,131,759","1,761,502","2,273,719","8,977,132","8,964,411","6,986,498","6,874,852","461,941","464,190","1,528,694","1,625,369","2,808,378","2,859,646","5,003,317","5,089,124","1,948,462","2,263,176","1,553,500","1,772,987","213,517","253,668","181,445","236,521","735,719","890,085","4,357,888","4,902,318","896,549","987,049"
13-Apr,"39,504,016","39,719,107","10,775,375","9,262,564","9,376,380","8,049,819","724,092","623,363","674,903","589,382","1,213,040","1,273,903","771,253","808,002","441,787","465,901","999,135","1,154,030","2,249,943","2,256,193","8,372,165","8,974,127","6,545,089","6,900,459","446,935","470,888","1,380,141","1,602,779","2,840,676","2,886,722","4,681,982","4,852,598","2,055,735","2,250,580","1,609,746","1,754,704","250,473","253,016","195,516","242,859","779,689","897,343","4,605,509","4,890,750","930,769","1,020,297"
13-May,"44,707,357","40,395,039","11,757,311","9,540,369","9,954,644","8,245,318","1,102,422","668,228","700,246","626,824","1,311,980","1,298,565","840,255","822,095","471,724","476,471","1,018,205","1,151,922","3,023,211","2,281,541","9,576,766","9,035,856","7,290,830","6,868,654","502,142","480,650","1,783,793","1,686,552","3,022,220","2,931,538","5,291,049","4,979,441","2,379,102","2,277,979","1,857,578","1,787,190","282,754","251,550","238,769","239,240","859,326","899,237","5,412,378","5,002,739","1,055,810","995,850"
13-Jun,"42,299,543","40,100,664","10,723,898","9,586,778","9,216,610","8,318,869","927,998","650,296","579,290","617,613","1,289,308","1,291,348","832,334","817,266","456,974","474,082","1,027,534","1,144,572","2,749,101","2,253,678","9,263,881","8,858,409","7,031,070","6,781,670","495,802","482,619","1,737,008","1,594,119","2,856,880","2,932,616","5,280,089","5,031,674","2,173,036","2,213,138","1,705,426","1,723,110","242,498","244,843","225,111","245,186","841,345","888,245","5,080,704","4,931,594","1,013,767","968,612"
13-Jul,"42,565,931","40,573,313","10,679,936","9,560,595","9,087,250","8,259,114","960,934","669,102","631,753","632,378","1,338,076","1,290,262","858,570","820,195","479,506","470,066","1,044,086","1,137,906","2,793,667","2,299,595","9,175,373","8,922,699","6,880,972","6,830,846","497,612","488,227","1,796,789","1,603,626","2,903,801","2,931,773","5,649,077","5,229,920","2,061,276","2,263,845","1,626,944","1,781,294","229,500","248,709","204,831","233,842","822,533","891,163","5,098,954","5,044,318","999,150","1,001,238"
13-Aug,"43,391,178","40,890,989","10,212,058","9,605,078","8,794,490","8,295,092","799,061","672,079","618,507","637,906","1,376,837","1,279,822","880,471","801,892","496,365","477,930","1,145,971","1,118,583","2,723,705","2,373,512","9,866,857","9,074,727","7,393,594","6,913,055","516,335","500,713","1,956,928","1,660,959","2,934,861","2,963,213","5,631,443","5,244,947","2,371,097","2,291,425","1,856,995","1,797,682","285,910","256,120","228,191","237,622","955,966","917,678","5,090,677","5,030,811","1,081,706","991,194"
13-Sep,"40,327,899","40,785,782","9,485,788","9,562,462","8,302,457","8,284,179","568,115","625,857","615,216","652,427","1,325,723","1,294,228","844,089","807,986","481,634","486,241","1,104,715","1,113,916","2,511,983","2,353,988","8,687,511","9,008,829","6,632,132","6,876,336","469,951","493,316","1,585,427","1,639,177","2,845,965","2,981,818","5,270,467","5,216,657","2,257,090","2,298,355","1,781,606","1,797,159","269,156","254,297","206,327","246,900","963,028","920,461","4,786,142","5,027,287","1,089,489","1,007,781"
13-Oct,"41,747,250","40,918,659","9,986,667","9,549,972","8,646,293","8,301,201","519,536","612,461","820,838","636,310","1,326,334","1,285,002","820,373","806,473","505,961","478,529","1,090,113","1,143,824","2,551,868","2,331,367","9,145,984","9,170,139","7,037,089","6,997,697","512,339","507,918","1,596,557","1,664,524","3,083,514","3,012,503","5,272,769","5,199,063","2,343,316","2,280,481","1,860,767","1,785,702","285,542","255,359","197,008","239,420","856,772","913,915","5,070,200","5,052,425","1,019,712","979,970"
13-Nov,"42,062,766","40,931,618","9,181,427","9,566,444","7,859,315","8,275,626","429,307","632,342","892,805","658,476","1,437,113","1,299,761","859,043","809,915","578,071","489,846","1,384,461","1,155,905","2,286,635","2,302,014","9,126,772","9,012,942","6,927,114","6,856,908","508,859","508,378","1,690,799","1,647,655","3,116,430","3,038,171","5,108,645","5,280,430","2,724,563","2,290,315","2,148,094","1,784,639","300,911","259,039","275,559","246,637","1,079,188","925,457","5,610,568","5,069,063","1,006,963","991,116"
13-Dec,"44,940,706","40,959,258","7,658,903","9,554,045","6,659,934","8,257,439","398,126","644,466","600,844","652,140","1,445,638","1,229,986","843,910","759,635","601,727","470,350","1,943,109","1,137,274","1,714,428","2,162,737","9,872,627","9,024,663","7,128,192","6,888,684","643,557","503,873","2,100,878","1,632,106","3,583,532","3,062,576","5,228,680","5,378,235","3,724,286","2,329,875","2,806,867","1,816,127","347,109","268,650","570,310","245,098","1,534,357","916,840","7,038,682","5,143,594","1,196,464","1,019,435"
14-Jan,"35,181,491","41,187,689","7,382,520","9,619,142","6,519,355","8,333,896","354,573","631,475","508,591","653,771","1,131,332","1,277,074","711,842","787,729","419,490","489,344","987,702","1,128,404","1,593,554","2,281,430","8,450,543","9,101,220","6,753,706","6,925,584","405,790","497,881","1,291,046","1,677,755","2,887,713","2,971,468","5,148,651","5,457,319","1,660,146","2,265,104","1,294,995","1,758,506","195,506","260,866","169,645","245,731","793,411","916,788","4,258,843","5,143,840","887,076","1,025,901"
14-Feb,"33,120,378","41,515,314","7,226,403","9,740,296","6,404,038","8,470,109","378,380","612,540","443,984","657,647","1,016,935","1,279,453","636,846","793,672","380,089","485,782","866,719","1,128,299","1,457,890","2,261,830","7,889,052","9,146,175","6,179,931","6,972,104","425,721","505,104","1,283,400","1,668,967","2,747,224","3,067,422","4,939,482","5,516,541","1,591,237","2,304,826","1,217,786","1,797,422","159,729","256,661","213,723","250,744","636,059","918,091","3,923,358","5,128,350","826,020","1,024,030"
14-Mar,"38,764,006","41,557,139","9,585,049","9,770,467","8,559,982","8,514,855","498,902","614,663","526,164","640,949","1,219,998","1,315,811","760,238","816,433","459,760","499,377","1,033,917","1,145,068","1,754,666","2,249,113","8,723,746","9,163,703","6,804,024","7,001,277","482,188","513,607","1,437,534","1,648,819","2,993,650","3,067,986","5,430,468","5,554,744","1,879,793","2,230,105","1,486,902","1,742,590","201,418","238,061","191,473","249,453","749,239","923,883","4,504,875","5,142,896","888,606","993,365"
14-Apr,"42,142,874","42,081,778","11,533,638","10,016,771","10,084,939","8,772,436","721,284","606,188","727,415","638,147","1,222,827","1,319,398","768,176","824,061","454,651","495,337","1,007,251","1,155,513","2,188,354","2,227,626","8,924,756","9,302,449","6,857,385","7,068,794","517,003","517,589","1,550,368","1,716,066","3,048,703","3,074,148","5,351,013","5,514,285","2,126,426","2,322,762","1,676,229","1,819,445","258,242","261,395","191,955","241,922","816,324","927,142","5,011,732","5,229,778","911,850","991,908"
14-May,"46,760,489","42,178,396","12,398,459","10,304,454","10,642,736","9,010,373","1,017,478","631,766","738,246","662,314","1,374,503","1,350,193","871,829","840,535","502,674","509,657","1,008,379","1,135,791","3,111,934","2,353,102","9,771,693","8,948,828","7,422,404","6,765,736","547,531","520,191","1,801,758","1,662,900","3,117,527","3,037,943","5,788,167","5,517,408","2,465,343","2,321,938","1,918,536","1,810,902","302,021","266,409","244,785","244,627","925,311","958,459","5,682,046","5,202,965","1,117,126","1,047,314"
14-Jun,"44,550,964","42,817,867","11,282,692","10,146,919","9,693,966","8,819,789","955,036","657,670","633,691","669,460","1,319,262","1,342,464","831,818","840,327","487,444","502,137","1,002,017","1,117,360","2,934,572","2,405,311","9,458,523","9,391,787","7,138,103","7,161,237","516,055","512,047","1,804,366","1,718,503","2,987,269","3,064,275","5,795,082","5,524,280","2,298,979","2,422,892","1,819,821","1,907,139","258,244","272,378","220,914","243,375","887,571","961,454","5,509,504","5,408,245","1,075,494","1,032,880"
14-Jul,"45,699,406","42,983,194","11,799,450","10,423,269","10,173,648","9,096,285","951,077","661,971","674,725","665,013","1,458,448","1,400,601","926,452","877,607","531,996","522,995","1,038,392","1,131,329","2,987,685","2,444,426","9,834,041","9,333,141","7,350,026","7,107,034","533,021","516,188","1,950,994","1,709,918","3,086,889","3,100,968","5,969,438","5,548,259","2,198,898","2,364,528","1,733,468","1,854,718","249,133","265,033","216,296","244,777","908,310","962,461","5,385,005","5,255,298","1,032,852","1,018,914"
14-Aug,"44,765,234","42,934,766","10,800,495","10,475,484","9,399,723","9,153,265","785,223","663,236","615,549","658,983","1,446,653","1,353,529","944,734","860,270","501,919","493,258","1,168,554","1,160,991","2,670,478","2,388,626","9,878,846","9,274,503","7,430,116","7,096,874","527,562","519,037","1,921,169","1,658,592","3,027,515","3,094,901","5,822,888","5,434,651","2,460,082","2,398,702","1,927,296","1,883,880","300,449","270,515","232,337","244,307","998,234","965,001","5,378,929","5,352,094","1,112,561","1,036,285"
14-Sep,"43,448,141","43,140,793","11,098,717","10,600,120","9,774,235","9,238,960","645,023","685,102","679,459","676,059","1,429,570","1,380,511","895,705","854,928","533,864","525,583","1,184,054","1,166,235","2,617,424","2,381,870","9,158,807","9,435,595","7,028,170","7,219,107","495,322","513,223","1,635,315","1,703,265","3,008,544","3,104,752","5,442,694","5,412,673","2,356,471","2,385,891","1,871,784","1,872,895","280,055","269,773","204,632","243,223","1,003,999","957,876","5,053,141","5,305,595","1,094,720","1,009,674"
14-Oct,"44,236,013","43,066,189","10,976,555","10,558,446","9,517,321","9,199,262","602,093","687,848","857,142","671,336","1,393,810","1,357,222","853,606","841,929","540,204","515,293","1,146,707","1,195,935","2,652,703","2,424,586","9,674,047","9,496,343","7,455,645","7,273,507","528,245","519,636","1,690,158","1,703,200","3,216,691","3,124,423","5,393,778","5,276,647","2,462,818","2,368,998","1,956,629","1,858,456","296,628","263,936","209,561","246,605","899,857","963,792","5,334,749","5,268,707","1,084,298","1,031,092"
14-Nov,"43,386,732","42,943,086","9,752,251","10,392,199","8,373,063","9,004,278","459,866","684,248","919,322","703,674","1,491,481","1,361,892","891,926","841,764","599,555","520,128","1,389,052","1,181,584","2,295,498","2,383,621","9,346,703","9,506,987","7,141,731","7,275,976","517,937","521,110","1,687,035","1,709,900","3,135,437","3,109,517","4,946,122","5,136,473","2,909,409","2,437,836","2,305,292","1,905,801","331,309","284,558","272,808","247,477","1,145,601","976,685","5,928,780","5,411,087","1,046,399","1,045,205"
14-Dec,"47,291,686","42,941,204","8,889,529","10,678,189","7,828,272","9,357,768","433,441","665,669","627,816","654,752","1,600,101","1,366,776","941,531","855,449","658,570","511,327","1,979,338","1,165,573","1,966,215","2,429,432","10,598,387","9,608,412","7,620,816","7,314,826","699,947","540,706","2,277,624","1,752,880","3,711,071","3,150,430","4,608,630","4,743,131","3,826,983","2,413,003","2,883,418","1,880,402","352,868","276,015","590,698","256,586","1,639,413","971,697","7,276,079","5,398,186","1,195,940","1,016,374"
15-Jan,"35,248,015","41,481,239","7,609,601","10,116,038","6,747,480","8,803,400","363,140","658,746","498,982","653,892","1,162,636","1,310,198","732,600","804,044","430,036","506,154","998,966","1,165,287","1,681,485","2,419,489","8,932,312","9,378,926","7,168,568","7,144,239","422,898","521,559","1,340,847","1,713,128","3,045,500","3,138,871","4,045,075","4,416,659","1,812,080","2,449,467","1,428,819","1,919,908","201,271","270,108","181,989","259,450","781,592","922,102","4,306,981","5,148,287","871,785","1,015,914"
15-Feb,"33,625,076","42,356,061","7,676,455","10,301,486","6,771,273","8,909,284","447,200","717,918","457,982","674,284","1,057,165","1,334,641","640,400","801,223","416,766","533,418","904,611","1,179,319","1,565,004","2,425,251","8,152,177","9,457,754","6,374,597","7,197,500","446,443","530,197","1,331,137","1,730,057","2,836,075","3,146,838","4,023,569","4,612,702","1,676,271","2,436,714","1,279,874","1,898,423","171,634","273,637","224,763","264,654","669,733","966,613","4,227,696","5,454,230","836,318","1,040,512"
15-Mar,"40,025,924","43,051,507","10,526,201","10,499,781","9,382,685","9,145,845","571,512","682,262","572,005","671,674","1,294,039","1,403,863","801,954","869,358","492,085","534,505","1,049,417","1,157,470","1,998,390","2,527,216","8,979,208","9,619,188","6,946,032","7,307,073","520,433","537,805","1,512,743","1,774,309","3,218,803","3,266,039","4,521,349","4,668,654","2,079,975","2,528,088","1,629,491","1,953,479","241,896","297,543","208,588","277,066","774,107","961,595","4,641,960","5,347,605","942,475","1,072,009"
15-Apr,"42,989,382","42,971,511","12,248,806","10,787,675","10,706,796","9,449,560","780,083","660,510","761,927","677,605","1,321,502","1,419,051","817,607","879,939","503,895","539,112","917,074","1,052,688","2,469,772","2,523,426","9,179,272","9,568,983","7,069,722","7,260,526","521,658","540,942","1,587,892","1,767,515","3,179,564","3,200,985","4,384,020","4,556,569","2,323,533","2,528,393","1,810,710","1,969,101","299,029","293,466","213,794","265,826","869,501","976,507","5,113,479","5,290,558","982,857","1,066,676"
15-May,"47,439,687","43,227,767","12,724,542","10,835,432","10,949,390","9,498,381","1,078,910","691,236","696,241","645,816","1,450,174","1,432,036","919,217","885,068","530,957","546,968","936,060","1,076,768","3,396,197","2,587,927","10,221,768","9,522,932","7,796,692","7,248,234","565,061","543,201","1,860,015","1,731,497","3,267,042","3,225,588","4,987,070","4,677,852","2,635,218","2,516,447","2,048,521","1,966,105","325,883","290,037","260,814","260,306","931,413","976,186","5,790,910","5,336,648","1,099,293","1,039,951"
15-Jun,"46,376,329","43,732,323","12,717,650","11,026,182","11,020,596","9,683,882","1,025,150","684,815","671,904","657,485","1,422,266","1,431,732","872,610","878,093","549,656","553,640","1,050,557","1,132,894","3,180,305","2,517,611","9,735,294","9,581,744","7,330,983","7,270,671","543,534","538,134","1,860,777","1,772,940","3,204,697","3,237,258","5,161,898","4,899,073","2,388,627","2,504,262","1,872,456","1,953,078","277,580","292,180","238,591","259,005","916,687","990,667","5,458,010","5,335,124","1,140,339","1,075,774"
15-Jul,"47,151,990","44,001,390","12,545,424","11,218,850","10,867,705","9,834,252","1,006,719","715,243","671,001","669,355","1,497,507","1,438,620","935,059","884,281","562,448","554,340","1,041,954","1,117,305","3,036,410","2,480,620","10,349,397","9,590,953","7,649,240","7,252,617","561,663","539,889","2,138,494","1,798,447","3,246,742","3,252,740","5,450,344","4,942,628","2,414,583","2,547,815","1,884,147","1,984,722","288,081","298,485","242,355","264,609","951,119","993,523","5,498,159","5,331,278","1,120,349","1,087,059"
15-Aug,"45,655,167","44,244,268","11,783,009","11,375,290","10,340,887","9,988,790","824,645","713,532","617,477","672,969","1,550,636","1,466,986","977,133","899,592","573,503","567,394","1,123,681","1,124,926","2,775,201","2,526,736","9,973,302","9,658,340","7,390,315","7,285,775","535,094","535,517","2,047,894","1,837,048","3,146,065","3,251,139","5,228,775","4,854,852","2,580,012","2,556,855","1,996,913","1,982,647","326,626","298,554","256,472","275,654","1,017,700","998,741","5,311,536","5,339,453","1,165,251","1,090,949"
15-Sep,"44,907,164","44,206,259","12,067,500","11,394,799","10,681,389","9,991,682","713,409","741,394","672,702","661,723","1,507,666","1,450,236","944,587","895,282","563,080","554,954","1,159,412","1,123,020","2,790,388","2,521,553","9,506,094","9,688,155","7,197,181","7,309,102","527,449","540,533","1,781,464","1,838,520","3,194,906","3,295,183","4,768,346","4,705,316","2,551,069","2,568,069","2,008,088","1,999,658","314,520","299,987","228,460","268,425","1,006,422","963,342","5,172,392","5,406,633","1,182,968","1,089,954"
15-Oct,"45,477,857","44,114,237","11,716,842","11,499,103","10,250,474","10,096,884","627,097","741,933","839,271","660,286","1,494,606","1,448,088","921,074","896,669","573,532","551,419","1,085,695","1,119,931","2,755,006","2,535,929","9,932,569","9,507,773","7,567,797","7,187,498","563,232","546,406","1,801,540","1,773,869","3,388,798","3,303,621","4,734,722","4,657,810","2,768,478","2,595,360","2,190,170","2,024,018","344,655","303,195","233,653","268,147","953,724","1,012,486","5,504,462","5,357,748","1,142,954","1,076,387"
